bin_index,bad_r_ch1,bad_r_ch2,bad_r_ch3,ppg_issue,ppg_issue_text,p_begin_ch1,p_begin_ch2,p_begin_ch3,q_begin_ch1,q_begin_ch2,q_begin_ch3,t_begin_ch1,t_begin_ch2,t_begin_ch3,t_end_ch1,t_end_ch2,t_end_ch3,ppg_onset,ppg_peak,ppg_dicrotic,ppg_50,ppg_end,p_begin_ch1_sec,p_begin_ch2_sec,p_begin_ch3_sec,q_begin_ch1_sec,q_begin_ch2_sec,q_begin_ch3_sec,t_begin_ch1_sec,t_begin_ch2_sec,t_begin_ch3_sec,t_end_ch1_sec,t_end_ch2_sec,t_end_ch3_sec,ppg_onset_sec,ppg_peak_sec,ppg_dicrotic_sec,ppg_50_sec,ppg_end_sec
108,0,1,1,0,ok,36,,,100,,,274,,,301,,,13,193,739,83,757,0.036,,,0.1,,,0.274,,,0.301,,,0.013,0.193,0.739,0.083,0.757
109,0,1,1,0,ok,41,,,103,,,274,,,284,,,9,163,751,79,763,0.041,,,0.103,,,0.274,,,0.284,,,0.009,0.163,0.751,0.079,0.763
110,0,1,1,0,ok,29,,,83,,,271,,,247,,,5,169,674,82,743,0.029,,,0.083,,,0.271,,,0.247,,,0.005,0.169,0.674,0.082,0.743
111,0,1,1,0,ok,33,,,95,,,265,,,272,,,20,183,749,84,753,0.033,,,0.095,,,0.265,,,0.272,,,0.02,0.183,0.749,0.084,0.753
112,0,1,1,0,ok,15,,,76,,,236,,,264,,,5,196,641,91,646,0.015,,,0.076,,,0.236,,,0.264,,,0.005,0.196,0.641,0.091,0.646
113,0,1,1,0,ok,49,,,111,,,313,,,471,,,7,203,773,89,795,0.049,,,0.111,,,0.313,,,0.471,,,0.007,0.203,0.773,0.089,0.795
114,0,1,1,0,ok,51,,,111,,,312,,,481,,,5,203,762,92,870,0.051,,,0.111,,,0.312,,,0.481,,,0.005,0.203,0.762,0.092,0.87
115,0,1,1,0,ok,51,,,115,,,310,,,346,,,5,207,845,90,871,0.051,,,0.115,,,0.31,,,0.346,,,0.005,0.207,0.845,0.09,0.871
116,0,1,1,0,ok,365,,,325,,,615,,,736,,,5,212,788,92,805,0.365,,,0.325,,,0.615,,,0.736,,,0.005,0.212,0.788,0.092,0.805
117,0,1,1,0,ok,50,,,110,,,301,,,310,,,2,208,752,95,762,0.05,,,0.11,,,0.301,,,0.31,,,0.002,0.208,0.752,0.095,0.762
118,0,1,1,0,ok,58,,,130,,,299,,,311,,,12,191,768,96,773,0.058,,,0.13,,,0.299,,,0.311,,,0.012,0.191,0.768,0.096,0.773
119,0,1,1,0,ok,51,,,51,,,298,,,303,,,44,776,776,106,776,0.051,,,0.051,,,0.298,,,0.303,,,0.044,0.776,0.776,0.106,0.776
