SegmentIndex,ECG_R_Peak_1Based,PPG_Systolic_Peak_1Based
25,12744,12611
25,13240,12858
25,13488,13106
25,13733,13358
25,13981,13609
25,14226,13848
25,14473,14099
25,14719,14349
25,14966,14599
25,15215,14840
25,,15089
25,,15330
26,101,1.84467e+19
26,350,224
26,599,472
26,851,721
26,1098,968
26,1347,1219
26,1594,1465
26,1844,1715
26,2093,1962
26,2338,2213
26,2577,2458
26,2818,2694
26,3063,2934
26,3307,3178
26,3552,3426
26,3800,3667
26,4050,3918
26,4303,4168
26,4551,4422
26,4802,4670
26,5052,4918
26,5305,5171
26,5558,5422
26,5811,5674
26,6066,5929
26,6321,6185
26,6575,6437
26,6830,6693
26,7089,6950
26,7344,7206
26,7596,7460
26,7848,7714
26,8101,7967
26,8354,8223
26,8603,8472
26,8853,8724
26,9104,8974
26,9355,9225
26,9608,9472
26,9857,9725
26,10104,9976
26,10354,10226
26,10606,10471
26,10855,10726
26,11102,10973
26,11352,11219
26,11600,11470
26,11848,11719
26,12096,11966
26,12342,12213
26,12594,12461
26,12844,12712
26,13093,12961
26,13343,13210
26,13596,13461
26,13850,13714
26,14102,13967
26,14352,14221
26,14604,14470
26,14855,14723
26,15105,14973
26,15358,15224
27,249,114
27,502,366
27,753,617
27,1007,870
27,1261,1121
27,1514,1382
27,1767,1633
27,2017,1886
27,2270,2136
27,2520,2389
27,2773,2639
27,3025,2895
27,3280,3142
27,3538,3392
27,3794,3656
27,4049,3913
27,4305,4167
27,4558,4425
27,4813,4680
27,5069,4935
27,5326,5186
27,5579,5446
27,5833,5699
27,6087,5948
27,6342,6204
27,6599,6462
27,6851,6722
27,7093,6968
27,7339,7209
27,7590,7454
27,7842,7707
27,8092,7961
27,8347,8216
27,8603,8462
27,8864,8721
27,9124,8982
27,9382,9238
27,9640,9500
27,9901,9752
27,10163,10015
27,10422,10286
27,10680,10543
27,10939,10802
27,11199,11058
27,11458,11322
27,11717,11579
27,11976,11840
27,12233,12097
27,12492,12353
27,12748,12613
27,13003,12865
27,13262,13124
27,13521,13379
27,13778,13644
27,14034,13895
27,14293,14156
27,14552,14413
27,14813,14673
27,15074,14933
27,15337,15195
28,243,95
28,511,362
28,778,628
28,1046,897
28,1313,1163
28,1580,1425
28,1850,1696
28,2121,1964
28,2390,2235
28,2658,2507
28,2926,2776
28,3191,3039
28,3457,3306
28,3723,3575
28,4251,3844
28,4519,4358
28,4785,4631
28,5306,4897
28,5569,5416
28,5827,5691
28,6082,5947
28,6336,6204
28,6592,6457
28,6849,6709
28,7104,6967
28,7351,7228
28,7594,7466
28,7841,7704
28,8092,7954
28,8343,8210
28,8597,8459
28,8853,8715
28,9110,8958
28,9366,9301
28,9624,9456
28,9885,9806
28,10144,9988
28,10403,10250
28,10663,10520
28,10924,10784
28,11185,11042
28,11444,11302
28,11701,11561
