# UPSAMPLED
time_s,ecg1,ecg2,ecg3,ppg,abp,accelx,accely,accelz,resp,cvp
0.031000,8183,8169,8177,2303.25,1.3351156e-306,2.1432478e-312,1.1654884e-311,0,1007.125,2.0317034e-255
0.032000,8183,8169,8177,2305,3.7236522e-317,0,0,0,1007,1.1654884e-311
0.033000,8183.5,8168.5,8176,2306.125,-3.0147739e-241,-1.2904324e-231,-3.817195e-270,-1.3001822e-231,1006.6875,-1.3077304e-231
0.034000,8184,8168,8175,2307.25,4.2278678e-307,4.9406565e-324,1.7802058e-306,1.1992799e+151,1006.375,1.1992799e+151
0.035000,8184,8167,8174,2308.375,2.3363819e-307,9.8813129e-324,4.0053604e-307,1.1989671e+16,1006.0625,2.3065041e+59
0.036000,8184,8166,8173,2309.5,1.2461099e-306,1.165491e-311,1.3350939e-306,1.1316405e+45,1005.75,4.6839318e+25
0.037000,8183.5,8164.5,8172,2310.625,8.9009813e-307,1.165491e-311,7.5659234e-307,3.6066792e-322,1005.4375,1.0662925e-319
0.038000,8183,8163,8171,2311.75,0,0,2.4191111e-312,0,1005.125,0
0.039000,8182,8161,8170,2312.875,-1.29515e-231,-1.2907469e-231,-1.2992386e-231,-1.3004967e-231,1004.8125,-3.0455294e-241
0.040000,8181,8159,8169,2314,4.2278678e-307,1.1992799e+151,1.1992799e+151,4.9406565e-324,1004.5,4.2278678e-307
0.041000,8179.5,8156.5,8168,2314.625,2.2251282e-307,2.1685288e+45,2.3065041e+59,7.2636753,1004.1875,2.3363819e-307
0.042000,8178,8154,8167,2315.25,1.6911933e-306,2.7067114e-307,1.4922761e+11,1.157105e-306,1003.875,2.2252287e-306
0.043000,8177.5,8151.5,8165,2315.875,2.1220285e-312,0,3.9525252e-322,1.1654885e-311,1003.5625,8.9009813e-307
0.044000,8177,8149,8163,2316.5,0,0,0,1.5810101e-322,1003.25,0
0.045000,8177,8147,8161,2317.125,-1.2954645e-231,-1.2910614e-231,-1.2995532e-231,-3.8227405e-270,1002.9375,-3.8449228e-270
0.046000,8177,8145,8159,2317.75,4.9406565e-324,9.5217163e+150,4.4504321e-308,2.1219958e-314,1002.625,2.1219958e-314
0.047000,8177.5,8144.5,8158,2318.375,9.8813129e-324,5.1675206e+25,1.7801908e-306,1.1654884e-311,1002.3125,1.1652481e-311
0.048000,8178,8144,8157,2319,1.1654914e-311,9.6266061e-308,2.7813966e-307,0,1002,1.1654882e-311
0.049000,8178.5,8145.5,8158,2319.25,1.1654907e-311,0,2.3554484e-312,0,1001.5,0
0.050000,8179,8147,8159,2319.5,0,0,0,0,1001,0
0.051000,8181.5,8150.5,8160,2319.75,-1.295779e-231,-1.2913759e-231,-1.2998677e-231,-1.030858e-202,1000.5,-3.845847e-270
0.052000,8184,8154,8161,2320,4.9406565e-324,9.5217163e+150,4.9406565e-324,1.6911933e-306,1000,4.9406565e-324
0.053000,8187.5,8159.5,8163,2320.25,1.9762626e-323,5.1675206e+25,6.9515141e-310,1.7802153e-306,999.5,4.9406565e-324
0.054000,8191,8165,8165,2320.5,1.4091379e-315,1.0182875e-307,6.9515141e-310,3.1152426e-307,999,6.3240403e-322
0.055000,8193.5,8173.5,8171,2320.75,0,0,0,0,998.5,2.0317034e-255
0.056000,8196,8182,8177,2321,0,0,0,0,998,1.1652409e-311
0.057000,8201,8193,8183,2320.875,-3.017703e-241,-1.2916904e-231,-1.3001822e-231,-3.824589e-270,997.5,-3.8467713e-270
0.058000,8206,8204,8189,2320.75,1.7802221e-306,1.1126103e-306,1.1992799e+151,2.1219958e-314,997,2.1219958e-314
