sample_index,ch1_raw,ch1_squared,ch1_absval,ch1_unfiltered,ch2_raw,ch2_squared,ch2_absval,ch2_unfiltered,ch3_raw,ch3_squared,ch3_absval,ch3_unfiltered,ppg
n_contributing,120,120,120,120,0,0,0,0,0,0,0,0,120
927,-0.0778471865,0.117838491,0.236117097,-0.0778471865,,,,,,,,,-0.0690703081
928,-0.0773848424,0.117935284,0.235311296,-0.0773848424,,,,,,,,,-0.0673433558
929,-0.0733963928,0.122527894,0.235515722,-0.0733963928,,,,,,,,,-0.0678980349
930,-0.0678719784,0.128907114,0.236489257,-0.0678719784,,,,,,,,,-0.0784373164
931,-0.0634084524,0.135178475,0.239635973,-0.0634084524,,,,,,,,,-0.0793579676
932,-0.0511307348,0.142494083,0.242954851,-0.0511307348,,,,,,,,,-0.0806688938
933,-0.0421966523,0.149524944,0.249395679,-0.0421966523,,,,,,,,,-0.0881391879
934,-0.037405533,0.153110913,0.252736933,-0.037405533,,,,,,,,,-0.0852009571
935,-0.0329276622,0.156562168,0.253619834,-0.0329276622,,,,,,,,,-0.0852632911
936,-0.0282537184,0.161907682,0.256885764,-0.0282537184,,,,,,,,,-0.0856524668
937,-0.0169637313,0.165059326,0.260260762,-0.0169637313,,,,,,,,,-0.0877067121
938,-0.0133240705,0.170446841,0.26459441,-0.0133240705,,,,,,,,,-0.0871823368
939,-0.00975194864,0.181539707,0.269166532,-0.00975194864,,,,,,,,,-0.0876782257
940,-0.00524913896,0.190867758,0.273586494,-0.00524913896,,,,,,,,,-0.0882772919
941,0.00512255205,0.202319206,0.279873183,0.00512255205,,,,,,,,,-0.0889035147
942,0.0142212455,0.216725728,0.284408983,0.0142212455,,,,,,,,,-0.090392468
943,0.0177818006,0.226594679,0.282605938,0.0177818006,,,,,,,,,-0.0910524414
944,0.0215439547,0.236618354,0.288714767,0.0215439547,,,,,,,,,-0.0917375804
945,0.0232241257,0.235821114,0.290243414,0.0232241257,,,,,,,,,-0.0924427277
946,0.0274330701,0.2368257,0.292537556,0.0274330701,,,,,,,,,-0.0908873006
947,0.0342062767,0.231535016,0.296005884,0.0342062767,,,,,,,,,-0.0974507895
948,0.0434078069,0.252938585,0.304500008,0.0434078069,,,,,,,,,-0.0976569262
949,0.0498430741,0.260712755,0.311471209,0.0498430741,,,,,,,,,-0.097878761
950,0.0524349641,0.256686001,0.313506368,0.0524349641,,,,,,,,,-0.0981169718
951,0.056873227,0.252690379,0.311637236,0.056873227,,,,,,,,,-0.0983695494
952,0.0542999848,0.254759706,0.311844038,0.0542999848,,,,,,,,,-0.0986327194
953,0.0531386113,0.257881068,0.313479647,0.0531386113,,,,,,,,,-0.0989028972
954,0.0568406048,0.259325661,0.31603518,0.0568406048,,,,,,,,,-0.0991783666
955,0.0620012437,0.26766687,0.320819651,0.0620012437,,,,,,,,,-0.0994596882
956,0.0652587388,0.281072177,0.319943132,0.0652587388,,,,,,,,,-0.0662491882
957,0.0614187832,0.275503712,0.318851284,0.0614187832,,,,,,,,,-0.0662532122
958,0.0598075225,0.2703491,0.314385001,0.0598075225,,,,,,,,,-0.0662338139
959,0.0563562063,0.265846707,0.312118896,0.0563562063,,,,,,,,,-0.0661424752
960,0.052740756,0.25470821,0.308720062,0.052740756,,,,,,,,,-0.0660554793
961,0.0501333843,0.235125513,0.308613031,0.0501333843,,,,,,,,,-0.0659721842
962,0.0509808812,0.221486361,0.305833587,0.0509808812,,,,,,,,,-0.0555879373
963,0.0483291335,0.224883661,0.303854288,0.0483291335,,,,,,,,,-0.0553117056
964,0.0485837247,0.223990293,0.301829641,0.0485837247,,,,,,,,,-0.0550142616
965,0.0500506314,0.228080082,0.303584902,0.0500506314,,,,,,,,,-0.0546976615
966,0.0567626136,0.235713234,0.306114336,0.0567626136,,,,,,,,,-0.0543646016
967,0.0591196144,0.243499733,0.307788189,0.0591196144,,,,,,,,,-0.0540184064
968,0.0622824093,0.239811237,0.313477698,0.0622824093,,,,,,,,,
969,0.0642347688,0.23697919,0.317408501,0.0642347688,,,,,,,,,
970,0.0669317431,0.235492012,0.317912731,0.0669317431,,,,,,,,,
971,0.0710732637,0.238621001,0.317217858,0.0710732637,,,,,,,,,
972,0.0770865594,0.240514873,0.321000639,0.0770865594,,,,,,,,,
973,0.0803617607,0.241578152,0.322799847,0.0803617607,,,,,,,,,
974,0.0836930367,0.248387689,0.328132918,0.0836930367,,,,,,,,,
975,0.0862496861,0.259576386,0.329412632,0.0862496861,,,,,,,,,
976,0.0913610771,0.253529643,0.335575971,0.0913610771,,,,,,,,,
977,0.0883327081,0.248152871,0.335985987,0.0883327081,,,,,,,,,
978,0.085591426,0.2424921,0.332595234,0.085591426,,,,,,,,,
979,0.080920353,0.230834933,0.326742226,0.080920353,,,,,,,,,
980,0.0792535092,0.222018468,0.324541092,0.0792535092,,,,,,,,,
981,0.0763039485,0.205829894,0.318603745,0.0763039485,,,,,,,,,
982,0.0690820767,0.191248781,0.315212718,0.0690820767,,,,,,,,,
983,0.063438971,0.18170832,0.312144275,0.063438971,,,,,,,,,
984,0.0578760746,0.179163279,0.302917419,0.0578760746,,,,,,,,,
985,0.0568113036,0.173136078,0.29944812,0.0568113036,,,,,,,,,
986,0.0519697619,0.168512244,0.297828874,0.0519697619,,,,,,,,,
987,0.0497930131,0.164951227,0.293310047,0.0497930131,,,,,,,,,
988,0.0447803052,0.154120346,0.286658953,0.0447803052,,,,,,,,,
989,0.0415961855,0.14992198,0.283655393,0.0415961855,,,,,,,,,
990,0.0328886656,0.141335172,0.266262716,0.0328886656,,,,,,,,,
